timeStamp,hash,from,to,value,move_balance,staking,stake_balance
1653939381,0x7670377e8485980db9e90c5da227855461ece9130599d551476a1ba50b7f8a05,0x0df598a558bbd232813a0d8b0f4e9e1cc2e02cce,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,24075.42,-24075.42,1,-24075.42
1653940062,0xc2baa12b2269c40a025a9da1436b455c96c1491f654cac06af5e25ab39135ca3,0xfa8853bfdba3580050256e7c2e0000d0bd220ffa,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,5079.2,-5079.2,1,-5079.2
1653940362,0xaf17f651b4384c2a43071a6314aeeaed37c72a036a97ac1879ad0a3043466e75,0x257ac5a077ced525f87d4f1ba6c0bf2f6f747413,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,300000.0,-300000.0,1,-300000.0
1653940919,0x26af87ad66746e7c072d92c447865cb1b9c3f19c5eec698a0d3639ab3d12f7ca,0x030cdac279f3c03ee50982524daeb87510c1a1d2,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,51238.31,-51238.31,1,-51238.31
1653941843,0xfe2f201c4fbb9267a5faf7d5721ebff520168f61e77daf527801a8ce99938e08,0x6b8c8f389154255b828477426adc19c86f028ed4,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,17500.0,-17500.0,1,-17500.0
1653943602,0xac55f0fcff8dcd77a16ea590bc288cc8418ffaf6311f11a54477190baec75ab7,0xc5a21f88cb612a83a9658a24d062bb7c6a685626,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,38667.0,-38667.0,1,-38667.0
1653945924,0x2b58250f78f0dce0ad99c7ecdb6527bb86700302790de7bf0623d0c87d8dc007,0xf85761b55272d5ee30139dfe742499ec8c052306,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,160000.0,-160000.0,1,-160000.0
1653946602,0x9edc2e2f57feea1368c37cb5d7a72b6e3f0b0e393dc610e986e2a2ea18ae6e82,0x371f988e6a5d3f0fd968b86e5adfb4a9c4a3f2a9,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,4248.38,-4248.38,1,-4248.38
1653948714,0x5e51c5840cfd5c58c86b2dbc78e9848c182416d1820979cd49135b44c11d96e0,0xa07d536cf5697c580e57757d8b1b94fc07fc3647,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,150936.59,-150936.59,1,-150936.59
1653949251,0x44dbc7a615d98f7fe85a08ff8f837cc86c36d2ea8df6d8542c70099246d6eec7,0xabc96d08d0c0094032151325cbcfe7b6424c0259,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,54527.81,-54527.81,1,-54527.81
1653949731,0x5a6320d9c75cffdfc6d580a3bfc734a3699c65c19bb9b83b3754136ec437d2d0,0x5d52d7d492cc22ed904433f07d0c57d9899557dc,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,115000.0,-115000.0,1,-115000.0
1653950529,0xb071732c05a9a883e59d7bcdb6cdfd64db761a59457f36b5536471e4a8f4f3f8,0x91554934010726db35d4218da25892c6f1a4a2f0,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,50000.0,-50000.0,1,-50000.0
1653950586,0x4cc3d111c9180137e8d5998650d9b317aeac0f651fb92d3d4b5d3b6c5c72fa6e,0x62e4a58f9281f1775d61e14ddbb9329f30dad730,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,2435.95,-2435.95,1,-2435.95
1653952701,0x04d0418b27255a357aaab257f6111ba3be04f93fdb65d309f3e1f9cb88d920d0,0x0a4b4008f8271fa529aaa68e69084674d73c8168,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,66456.51,-66456.51,1,-66456.51
1653955347,0x888052aa18fa42f4319c3d7ccd72084b08d51e1cfc1eae7242d6fa3391bdf0cc,0xb4aa8851b7bc6ff1c2625aee4ba2d17c1e00e544,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,546.39,-546.39,1,-546.39
1653970585,0xa9c749933776e42d8dcd129b1b639c42d2072db27dbce4e9ca4fdeec77f980c9,0x44658349331cb9f613b2c20ba0660e33b556942d,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,11278.0,-11278.0,1,-11278.0
1653974164,0xa54c51cea53fa865b33add15f72d5fef6ed528e42b11d7a46e78179685777617,0xf1cab71c8183574a0e642535e12be0f67c4e6e04,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,5000.0,-5000.0,1,-5000.0
1653975403,0x7da3633def2bc93a271e46558664ec24cd1d12ae86fca78de9ed3b8914f40518,0xa37a006bb588d9012791f111eda9dca91f7d881d,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,63664.11,-63664.11,1,-63664.11
1653976375,0xfe6e522182e7c9099be754e5c7f418042c9cfe6d3ad96465409282d033fb6ea2,0x0cee410dc4ec53b2b0e0d7c45ea29bef9a451a9d,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,1000000.0,-1000000.0,1,-1000000.0
1653976384,0x1a944d5818e1790ff33b9e35e48498f1849cdf0116c382fd94ade59d97a27714,0x6f54ceb8c7b727b15159b63f020ba76c39ceb7e3,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,62821.96,-62821.96,1,-62821.96
1653977476,0x23057a6e2523a19db253711dcf159b8f17ec3d2da79e1edabce09d1a3f329aab,0xc72c6d06b5a953d2db4ff19058692c295d7f5560,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,75297.02,-75297.02,1,-75297.02
1653978617,0x861c85a64dd4e21be7f7dd261336a981d9d7aa66e5630cc6c0c9a5cb43199d01,0x86b73e35bcf6179f89b2b2b133c252991b6216b1,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,275920.52,-275920.52,1,-275920.52
1653981993,0x5009aee1dd64d2149412fc81e8cd75d1c56b24f4c6aade8cb94ce52f0aecbf3b,0xbc4cd64e456a7752a04c42850255127b2849c0df,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,10000.0,-10000.0,1,-10000.0
1653982080,0xb6e14f2fdc0750d82994b154a8d32ba5a47ddcdee58a1482b7051eb979fde232,0x0a4b4008f8271fa529aaa68e69084674d73c8168,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,107245.18,-107245.18,1,-107245.18
1653982692,0x687ed643be6ca0194d133cc8b5d5d056a878e6ab7388e66ca578ed0a9689d167,0xbc4cd64e456a7752a04c42850255127b2849c0df,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,90000.0,-90000.0,1,-90000.0
1653988687,0x06d7bb0e0b6bee1a275465c04787e583a2fdc060b588e3c912d2f5beeaacc145,0xd3e1ff345d76d0435d4e91f84ba0f0972e8f8ae4,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,6445.13,-6445.13,1,-6445.13
1653988834,0xc8e930ccfb059f499f198edba9d8de55d927dd75a634195e2cfee30f4c9d7623,0xc721f32eb6ecc78bdabb176b2b21764863209968,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,10817.6,-10817.6,1,-10817.6
1653990235,0xf49234154146ccae93b7c329385eb2f0cd6da9e744a6470bb2bd0329c7209311,0xe6adb3098be70f2e21aaadcaddc9a74ae4ae45c9,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,62070.97,-62070.97,1,-62070.97
1653992689,0x1a1ac71bf0f11671a9c78eeec12dda7a4df1248838f935bf2f9fafa8005fdd8b,0x389e30302a6dff422a3bcd713a1c98f5d0f6ef5f,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,4367382.38,-4367382.38,1,-4367382.38
1653993739,0x46aa70e7a49c35e7c52355e92d66e237f7392127126d9f999a4811b4a3f9f91a,0x527810d4bd23d1d929297b5b86d26433005e3e7a,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,191794.94,-191794.94,1,-191794.94
1653994483,0x4722a2d3366c9310916b2e9ee3aa12e03972fcd345803df978e9bbe5d519245c,0x0c753d7fed1b75d804c6ee94ff49e3ce60f73f97,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,39269.16,-39269.16,1,-39269.16
1653995041,0x46710cba3b8f488a9a777de686df0e947dac898932d953d0f4a8d1cdec5b9efc,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0xafd2a9185b77707d39e97bc00377b7b08c78afa7,24.88,-24.88,1,-24.88
1653995041,0x46710cba3b8f488a9a777de686df0e947dac898932d953d0f4a8d1cdec5b9efc,0xafd2a9185b77707d39e97bc00377b7b08c78afa7,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,9925.0,-9925.0,1,-9925.0
1653996229,0xf5c03d1d30da0dc17f581837e236175d1d043711ee56c44cc46da7a4537c1094,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,0xb956cafc8247f5ce2b6642a4355eda020715ce84,11.6,-11.6,1,-11.6
1653996229,0xf5c03d1d30da0dc17f581837e236175d1d043711ee56c44cc46da7a4537c1094,0xb956cafc8247f5ce2b6642a4355eda020715ce84,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,10000.0,-10000.0,1,-10000.0
1653996871,0x414201ae223d8588b83a5642858c7136f899499f77896a824a59a4d6ff3cbb72,0x030cdac279f3c03ee50982524daeb87510c1a1d2,0xdf5c4c1b98a4d045573ab2005d77e87daa58c853,31000.0,-31000.0,1,-31000.0
